Project Name,Merge Commit Hash,Left Parent,Right Parent,Base Commit,Analysis Time (min),Merge Commit Category,Git Conflicts,RefMerge Conflicts,IntelliMerge Conflicts,Total Conflicts,Git True Positives,RefMerge True Positives,IntelliMerge True Positives,Git False Positives,RefMerge False Positives,IntelliMerge False Positives,Git True Negatives,RefMerge True Negatives,IntelliMerge True Negatives,Git False Negatives,RefMerge False Negatives,IntelliMerge False Negatives,Git Categories,Git Categorical Notes,RefMerge Categories,RefMerge Categorical Notes,IntelliMerge Categories,IntelliMerge Categorical Notes,Insights,
Realm-java,9e8b525df078f9a0735,fb2139ed78d0a494aa,f126c3f596d41795f,ae5d2c7179643e63f6b1,32,IntelliMerge resolves the scenario while RefMerge does not,23,23,0,2,20,20,0,3,3,0,0,0,1,0,0,22,"Ordering Conflict (x2)
Refactoring + True Conflict (x1)","- add parameter refactoring makes
Conflict more complicated","Ordering Conflict (x2)
Unsupported Refactoring 
+ True Conflict (x1)","- add parameter refactoring makes
Conflict more complicated","Deletes file with conflict block
 Reported by other tool (x23)",,"- RefMerge: Did not support the add parameter refactoring that caused the refactoring conflict
- IntelliMerge: Deleted both files that contained conflict blocks",
Realm-java,8d3f48a6e73d7d9a88c,8d9164b31f85ef738e936,efe5943c08fc312ac81,f3dd2528371c1b454e,35,IntelliMerge reports less conflicts than RefMerge,4,4,3,4,2,2,2,2,2,1,0,0,1,0,0,0,"Refactoring + Formatting Conflict (x1)
Ordering Conflict (x1)","- Change Attribute Type refactoring
+ formatting differences result in 
Merge conflict","Unsupported Refactoring 
+ Formatting Conflict (x1)
Ordering Conflict (x1)","- Change Attribute Type refactoring
(unsupported) + formatting differences
Result in conflict","Resolved Refactoring Conflict (x1)
Ordering Conflict (x1)","- Resolves the conflict caused by 
Change attribute type + formatting ","- RefMerge: Does not support the refactoring involved in the conflict. Does not cause any conflicts from
inverting/replaying refactorings
- IntelliMerge: Successfully resolves Change Attribute Type refactoring conflict without any side effects",
Realm-java,a0b7a9c850999d5357,2eb1133ae3076c2644a,b899cdbcb471125129,e1da885c6dd51ca906c,65,RefMerge reports less conflicting lines than and IntelliMerge,8,2,4,66,1,1,1,7,1,3,58,64,7,0,0,55,Refactoring Conflict (x7),- 7 Rename Method conflicts,Undetected Refactoring Conflict (x1),"- Resolves most refactoring conflicts
- RefMiner fails to detect rename method
Eq -> equalTo","Resolves Refactoring Conflict (x1)
No Conflict + Syntax Error (x55)
Matching Conflict (x3)
","- Resolves refactoring conflict 
That RefMerge misses
- Duplicates method declarations 55
Times + syntax error 
- 3 comment-related conflicts","- RefMerge: Misses 1 rename method refactoring that combines with a formatting difference that causes
A conflict. By inverting the method, this conflict would be resolved. RefMiner misses the rename 
Method refactoring. 
- RefMerge: Resolves 6 rename method refactoring conflicts
- IntelliMerge: Resolves the refactoring conflict that RefMerge misses.
- IntelliMerge: Reports 3 comment-related matching conflicts
- IntelliMerge: Duplicates 55 method declarations with a syntax error. I think this is a bug with the 
Matching algorithm. ",
gradle,390c1ed246decd383,d0c535bae8e33d8b0446,ddee41e905f0c153db,8990c8539feed2e507b,101,RefMerge reports less conflicts than IntelliMerge,10,8,36,39,5,5,7,5,3,29,29,31,3,0,0,0,"Ordering Conflict (x1)
Refactoring Conflict (x4)","- 2 Move Method conflicts
- 1 rename variable conflict
- 1 change parameter type conflict","Ordering Conflict (x1)
Unsupported Refactoring (x2)","- does not support change parameter
- does not support rename variable
- resolves both move method ","Matching Conflict (x28)
Undetected Refactoring (x1)
Split (x2)","- resolves rename variable conflict
- resolves move method conflict x2
- does not detect change parameter
- 28 matching conflicts at the comment,
Annotation, and import level
- splits 2 conflicts to simplify them","- RefMerge: fails to resolve 2 conflicts caused by unsupported refactorings. Successfully handles the 
2 move method refactorings that are supported.
- IntelliMerge: Successfully resolves rename variable + 2 move method conflicts. Fails to detect the 
Change parameter refactoring, reporting a larger conflict block than RefMerge and Git. This is caused
By matching the 2 methods as an added method instead of refactored method.
- IntelliMerge: Reports 28 matching conflicts. They are trivial to resolve but span over 19 files and 
Are time consuming to make sure they’re actually matching conflicts and not true conflicts.
- IntelliMerge: splits 2 true conflicts into 4 true conflicts, which is why it reports more true positives than
Git and RefMerge. These smaller refactorings are easier to resolve.",
gradle,ea42d642ed85ab7,7cb2b29329425096eb9d,9ab641ccec01431f9d,262421daf1954db,39,both tools increase number of conflicts,4,5,5,5,3,3,4,1,2,1,1,0,0,0,0,1,Refactoring Conflict (x1),- Add Parameter conflict,"Unsupported Refactoring Conflict (x1)
Wrong Move (x1)","- Does not support Add Parameter 
Refactoring
- Moved method to incorrect location,
Leading to conflict","Deletes file with conflict block 
Reported by other tool (x1)
Split Conflict Block (x1)
Refactoring Conflict (x1)","- Deletes the file that RefMerge 
Adds a conflict to
- Splits a conflict block to two smaller
& simpler conflict blocks
- fails to resolve Add parameter
Refactoring conflict","- RefMerge: Does not support Add Parameter so it cannot address the conflict block
- RefMerge: Inverts the move method refactoring to the wrong location, causing a conflict
- IntelliMerge: Deletes the file where RefMerge creates the conflict
- IntelliMerge: Splits a conflict block into two smaller, more understandable conflict blocks based off the 
Matching algorithm.
- IntelliMerge: Fails to resolve the add parameter conflict, it seems like the add parameter refactoring 
Was not detected",
gradle,243158c6eb3a87ab5e,8684ea810ee73ba34d23,81faf98e752cff3f4d5,a0690a5e9e9409529f,42,Both tools resolve,4,0,0,4,0,0,0,4,0,0,0,4,1,0,0,3,Refactoring Conflict (x4),"- 1 Extract Method/Inline Method
- 2 Move Class
- 1 Move + Rename Class",Resolves Refactoring Conflict (x4),"- resolves all refactoring conflicts
In question","Resolves Refactoring Conflict (x1)
Deletes file with conflict block 
Reported by other tool (x2)
Wrong Merge (x1)","- Handles inline/extract method correctly
- Deletes 2 files with refactoring 
Conflicts in them
- deletes moved inner class + 
Several methods","- RefMerge: Resolves a conflict caused by inline method on 1 line and extract method on the following
Line 
- RefMerge: Resolves 2 conflicts caused by move class
- RefMerge: resolves 1 conflict caused by moving the class then renaming it in a later commit
- IntelliMerge: Resolves the conflict caused by inline/extract
- IntelliMerge: Deletes a file with two conflict blocks caused by move class
- IntelliMerge: Incorrectly merges a file with a move+rename inner class involved. It deletes the inner 
Class as well as all surrounding methods except for 1",
cometd,0abe9500420e54fa,ed2024ce14b04edf,8d037acc1f9e19574a4,810611855509c213d33,13,RefMerge resolves the merge scenario while IntelliMerge does not,3,0,6,9,0,0,0,3,0,6,0,9,0,0,0,3,Refactoring Conflict (x3),"- Move Class + changes cause
3 conflicts in moved file",,- Resolves 3 refactoring conflicts,"Matching Conflict (x6)
Deletes file with conflict block
Reported by other tool (x3)","- Reports 6 comment-related matching
Conflicts
- Deletes several files, 3 of which 
Contain refactoring conflicts reported
By git","- RefMerge: Inverts the move class refactoring and merges the changes in the original location, causing
All 3 conflicts to be resolved. Then replays the refactoring, moving all changes to the new location.
- IntelliMerge: Deletes the whole directory that the move class refactoring happens.
- IntelliMerge: Reports 6 additional matching conflicts caused by comments",
cometd,14272758865141d732,f171ed8be81c767d0fb1,d9e490baf3db1e16519c,79c7070299780c06f5fd,10,IntelliMerge reports less conflicts than RefMerge,3,3,2,3,2,2,2,1,1,0,0,0,1,0,0,0,Refactoring Conflict (x1),"- 1 Change Parameter Type involved
Conflict",Unsupported Refactoring Conflict (x1),"- Does not support Change Parameter
Type conflict",,"- Resolves Change Param Type 
Conflict","- RefMerge: reports 1 change parameter type conflict that it does not support. If it supported Change 
Parameter Type refactorings, it could resolve it.
- IntelliMerge: resolves the refactoring conflict and does not add any false positives or negatives.",
cometd,2c9452d096b60a8a121,efe17a56c56a1fa33825,841e6cb100616dd4929,67b83e8639b7b1b70fdf,4,Both tools resolve,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,Refactoring Conflict (x1),- Move Method Conflict,,- Resolves the Move method conflict,,- Resolves the move method conflict,"- RefMerge: resolves the move method conflict by inverting and replaying it correctly.
- IntelliMerge: detects and matches the move method refactorings correctly",
ProjectE,c8552fc4765ba5128,bac9e51387663d667a,c96ac4de35b68e0030e,9a90be5ae23f9d3fe,147,IntelliMerge reports less conflicts than RefMerge,25,29,20,38,15,13,10,10,16,10,11,7,12,0,0,4,"Ordering Conflict (x10)
Refactoring Conflic Tpt (x2)

","- 5 ordering conflicts at the import
Level and 5 at the method level
- 2 refactoring conflicts causes
By conflicting refactorings","Ordering Conflict (x13)
Detected Refactoring Conflicts (x2)
Wrong Move (x1)
","- Reports 8 ordering conflicts at the
Import level and 5 at the method
Level
- Detects 2 refactoring conflicts with
The logic matrix
- Creates a conflict by moving 
Method to wrong location","Ordering Conflict (x3)
Matching Conflict (x7)
Wrong Merge (x4)","- Reports 3 ordering conflicts
- reports 7 matching conflicts
- Reports the same 2 refactoring 
Conflicts as Git","- RefMerge: Detects 2 refactoring conflicts caused by rename method/rename method and does not 
Replay the given refactorings.
- RefMerge: inverting refactorings causes ordering conflicts at the import level in 3 cases
- RefMerge: Inverting move method causes an ordering conflict in one case
- IntelliMerge: Resolves 7 ordering conflicts reported by Git
- IntelliMerge: Reports 7 matching conflicts (4 annotation and 3 comment). 
- IntelliMerge: Reports 2 refactoring conflicts where RefMerge detected the rename method/rename method
Conflicts
- IntelliMerge: Reports 4 false negatives in a file where the developer messed up a comment block.
I think this leads to it failing to match properly",
ProjectE,285f6252236af7854,6714d7943b6d0303d,07aa1678157d43e52e,ec29279d5529925ad,221,both tools increase number of conflicts,26,29,29,47,14,15,10,12,14,19,21,18,13,0,0,6,"Ordering Conflict (x5)
Refactoring Conflict (x7)","- 1 extract method
- 2 move method
- 1 rename variable
- 2 change availability
- 1 change return type","Ordering Conflict (x7)
Undetected Refactoring (x1)
Unsupported Refactoring (4)
Optimization (x1)
Wrong Move (x1)","- Fails to detect Move Method
- Does not support 1 rename var,
2 change availability, 1 return type
- 1 var is renamed in class renaming,
Causing conflict
- 1 method is moved to the wrong 
Location within the class","Matching Conflict (x11)
Ordering Conflict (x6)
Undetected Refactoring (x1)
Performed Wrong 
Refactoring FP (x1)
Performs Wrong 
Refactoring FN (x5)","- 10 matching conflicts at the usual 
Level
- 1 matching conflict at statement 
Level leading to a more difficult
False positive
- 6 ordering conflicts
- Detected a move method ref when
It was not performed, leading to a 
False negative + syntax errors
- failed to detect extract method","- RefMerge: reports the same ordering refactorings as Git, although it reports an additional with an annotation
Because it successfully inverted the move method. It reports another at the import level because of rearranging imports.
- RefMerge: RefMiner fails to detect a move method refactoring, leading to the same conflict block as 
Git.
- RefMerge: does not support 4 refactorings involved in conflicts.
- RefMerge: Moves the method to the wrong location within the class, resulting in an ordering conflict.
- RefMerge: Has another side effect from performing refactorings. IntelliJ renames the variable associated
With a class that is renamed, resulting in a merge conflict that can be avoided by not renaming the variable.
I am considering this as an optimizaiton conflict. 
- IntelliMerge: Reports 11 matching conflicts. 1 of them differs from the usual pattern, resulting in a 
More complicated false positive at the statement level. 
- IntelliMerge: Fails to detect an extract method refactoring which results in the same conflict as Git.
- IntelliMerge: Performs a move method refactoring on a method that is not refactored. This results in 
A false positive as well as syntax errors since the imports do not exist anymore. 
- IntelliMerge: Performs an extract method and 4 move method refactorings on code the devs did not 
Refactor. This results in 5 false negatives as well as some syntax errors as it removes imports still being
Used by other methods.",
iFixitAndroid,a056a077b8c99881ab4c,10ae15162d84ec4c98c,b2735b65f13fd4b16562,b2ca743443fb08cba,49,IntelliMerge reports less conflicts than RefMerge,4,20,2,22,2,2,1,2,18,1,17,2,18,1,0,2,"Refactoring Conflict (x2)
Missing Conflicting Region (x1)","- 1 Extract Method
- 1 Inline Method
- 1 Fails to report extracted method
In conflict region","Formatting Conflict (x15)
Ordering Conflict (x3)","- Inverting refactorings causes 15
Formatting conflicts at import +
Comment levels.
- Inverting refactorings causes 3 
Ordering conflicts","Undetected Refactoring (x1)
Matching Conflict FN (x1)
Missing Conflicting Region (x1)","- Does not detect an inline method
Refactoring and fails to resolve the
Associated conflict.
- Matches 2 statements that are 
Conflicting. Might be ref related?","- RefMerge: reports 15 formatting conflicts caused by inverting + replaying refactorings. the formatting 
Conflicts are no more than 4 lines in size and generally white space vs new line. 
- RefMerge: reports 3 ordering conflicts caused by inverting refactorings. They are at the statement level
And at most 3 lines. 
- RefMerge: inlines and extracts refactorings to resolve 2 conflicts entirely. 
- RefMerge: Reports a conflict 2x size that of IntelliMerge and Git because of inverting an extract method.
The changes in the extracted method should be marked as conflicting and this shows it side by side 
Instead of including the extracted method declaration.
- IntelliMerge: does not detect an inline method.
- IntelliMerge: reports a false negative because it matches 2 statements which are conflicting. 
- IntelliMerge: fails to report the extracted method changes, only reporting the invocation which means 
The developer needs to find the method and the changes are not side by side.",
iFixitAndroid,360ef2ac313f5d5d2e,e9e3f2083e72914f,a1770c3bae01bf5de7b0,d58cc6560863048e178,21,RefMerge reports less conflicting lines than and IntelliMerge,2,2,4,4,0,0,0,2,2,4,2,2,0,0,0,0,"Refactoring Conflict (x1)
Ordering Conflict (x1)","- 1 Add Parameter + Rename Method
Conflict","Unsupported Refactoring (x1)
Ordering Conflict (x1)","- Conflict with rename variable +
Add parameter","Undetected Refactoring (x1)
Ordering Conflict (x1)
Matching Conflict (x2)","- Fails to handle rename variable +
Add parameter
- 2 matching conflicts at comment level","- RefMerge: reports 1 conflict with 2 unsupported refactorings involved.
- IntelliMerge: Fails to detect the rename var + add parameter refactorings within the conflict
- IntelliMerge: Reports 2 matching conflicts at comment level",
Jackson-core,94afdbd5c2f6be280,21769819d4250f588,2f995a3355dc20f4919,21769819d4250f58825,65,RefMerge reports less conflicting lines than and IntelliMerge,1,1,83,83,0,1,0,1,0,83,82,83,0,0,0,1,"Refactoring Conflict (x1)
","- 1 Extract Method refactoring 
Conflict + True positive",,"- Inverts extract method, simplifying
The conflict","Undetected Refactoring (x1)
Matching Error (x82)
Syntax Error (x1)","- Fails to handle extract method 
Conflict
- reports 81 annotation/comment-
Related conflicts. 
- reports 1 statement matching 
Conflict","- RefMerge: Inverts 2 extract method refactorings in the same conflicting region reported by Git and
IntelliMerge, simplifying the conflict to only the true positive.
- IntelliMerge: Fails to handle the extract method refactorings, resulting in the same merge as Git.
- IntelliMerge: Reports 81 matching errors that are comment/annotation-related
- IntelliMerge: Reports 1 statement level matching conflict and some syntax errors caused by matching.",
Jackson-core,c8308ad216af7419a,e9d0978892a5ffbd6d7,df4f4cb4cf3e2f7a30,77effb50cda826eec,91,IntelliMerge reports less conflicting lines than RefMerge,15,15,66,76,9,9,7,6,6,59,59,59,6,0,0,2,"Refactoring Conflict (x2)
Ordering Conflict (x4)","- 2 refactoring conflicts with
Remove attribute annotations","Unsupported Refactoring (x2)
Ordering Conflict (x4)","- 2 refactoring conflicts with 
Remove attribute annotations","Matching Conflict (x59)
Performs Wrong Refactoring FN (x2)","- 59 matching conflicts at the annotation
Or comment level
- Deletes 2 methods, I think this happens
Because it treats them as refactorings","- RefMerge: Fails to resolve 2 refactoring conflicts because they are not supported refactoring types
- IntelliMerge: Reports 59 comment/annotation-related matching conflicts
- IntelliMerge: Performs 2 refactorings because of similarity threshold, resulting in an unexpected merge",
